,depot,HB101,HB102,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB404,HB407,HB408,HB409,HB501,HB502,HB503,HB505,HB506,HB508,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC104,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC125,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145
depot,0.0,17.969,18.088,18.305,18.019,18.161,19.829,20.666,19.897,18.469,19.052,18.826,18.621,18.819,17.519,17.864,18.165,18.18,17.93,17.914,19.139,19.466,19.135,20.44,21.447,19.749,18.705,18.903,19.487,18.26,18.217,19.689,18.664,18.302,19.102,18.417,18.0,17.704,17.34,18.547,18.266,18.479,18.128,33.62,18.344,18.15,18.911,17.527,17.955,17.88,32.651,19.064,31.153,31.348,39.529,34.074,19.063,18.942,32.18,19.331,18.312,19.394,18.038,18.117,32.989,33.322,32.045,19.679,17.947,18.162,32.203,34.432,34.428,34.534,18.33,17.789,33.365,19.071,18.77,18.819,17.444,31.997,29.63,18.918,33.997,18.308,19.157,31.655,31.711,31.99,32.399,32.96,32.972,31.888,32.047,32.401,31.275,31.673,31.204,28.862,29.088,29.133,30.243,28.576,28.347,27.777,28.028,32.206,31.86,28.794,38.704
HB101,17.969,0.0,0.118,0.329,0.348,0.191,2.215,2.373,2.365,1.26,1.52,1.616,2.138,2.255,1.07,1.09,1.718,1.183,1.447,0.705,1.929,1.794,2.363,2.24,3.428,2.977,1.495,1.229,1.955,0.729,0.248,2.48,0.695,0.333,4.192,3.426,3.009,2.414,2.243,3.556,3.649,3.364,3.013,4.636,2.484,3.003,2.49,2.693,3.122,2.493,3.434,4.154,9.362,8.872,8.287,5.089,2.503,2.459,8.085,4.217,3.168,4.104,2.89,2.97,3.196,9.226,8.91,3.192,2.799,3.329,8.533,5.599,5.368,5.549,3.339,2.78,3.76,3.781,3.655,3.529,1.68,7.901,8.066,3.804,3.817,3.318,3.867,4.83,8.614,7.895,8.304,8.864,8.876,7.792,8.898,8.352,7.18,9.34,8.821,7.779,7.38,8.597,9.697,8.806,8.281,8.463,8.102,8.373,7.765,9.188,8.391
HB102,18.088,0.118,0.0,0.211,0.278,0.073,2.097,2.255,2.298,1.235,1.453,1.547,2.079,2.284,1.151,1.172,1.666,1.114,1.529,0.635,1.86,1.923,2.268,2.173,3.045,2.881,1.426,1.162,1.748,0.661,0.129,2.41,0.577,0.215,4.42,3.654,3.237,2.642,2.471,3.784,3.878,3.643,3.318,4.864,2.566,3.231,2.572,2.922,3.35,2.575,3.662,4.382,9.59,9.1,8.515,5.317,2.585,2.54,8.313,4.445,3.396,4.332,3.119,3.198,3.424,9.454,9.139,3.274,3.028,3.557,8.762,5.828,5.596,5.777,3.567,3.008,3.988,4.01,3.96,3.757,1.909,8.129,8.294,4.108,4.045,3.546,4.095,5.058,8.842,8.123,8.532,9.092,9.104,8.02,9.126,8.58,7.408,9.568,9.049,8.007,7.609,8.825,9.925,9.034,8.509,8.691,8.331,8.601,7.993,9.416,8.619
HB103,18.305,0.329,0.211,0.0,0.559,0.413,1.937,2.096,2.335,1.155,1.415,1.467,2.041,2.122,1.528,1.696,1.586,1.403,1.849,1.012,1.78,1.764,2.23,2.21,2.885,2.844,1.346,1.151,1.737,0.624,0.357,2.429,0.517,0.592,4.798,4.032,3.615,3.02,2.849,4.162,4.255,3.97,3.694,5.242,2.943,3.609,2.949,3.299,3.728,2.952,4.04,4.76,9.968,9.478,8.893,5.695,2.683,2.861,8.691,4.823,3.774,4.71,3.497,3.576,3.802,9.832,9.517,3.506,3.406,3.935,9.139,6.205,5.974,6.155,3.945,3.386,4.366,4.387,4.336,4.135,2.286,8.507,8.672,4.485,4.423,3.924,4.473,5.436,9.22,8.501,8.91,9.47,9.482,8.398,9.504,8.958,7.786,9.946,9.427,8.385,7.987,9.203,10.303,9.412,8.887,9.069,8.708,8.979,8.371,9.794,8.997
HB105,18.019,0.348,0.278,0.559,0.0,0.235,1.805,1.964,2.014,1.048,1.169,1.36,1.795,1.876,0.965,0.985,1.479,0.927,1.342,0.449,1.673,1.443,1.984,1.89,2.574,2.598,1.239,0.879,1.464,0.378,0.201,2.223,0.648,0.247,4.236,3.47,3.052,2.457,2.287,3.6,3.693,3.408,3.131,4.679,2.379,3.046,2.385,2.737,3.165,2.388,3.478,4.198,9.406,8.916,8.33,5.132,2.398,2.354,8.128,4.26,3.211,4.148,2.934,3.013,3.239,9.27,8.954,3.087,2.843,3.372,8.577,5.643,5.412,5.593,3.382,2.824,3.803,3.825,3.773,3.573,1.724,7.944,8.109,3.921,3.861,3.361,3.911,4.873,8.657,7.938,8.347,8.908,8.919,7.836,8.942,8.395,7.223,9.383,8.865,7.822,7.424,8.64,9.74,8.85,8.324,8.507,8.146,8.417,7.808,9.231,8.434
HB106,18.161,0.191,0.073,0.413,0.235,0.0,2.024,2.182,2.225,1.12,1.38,1.432,2.006,2.087,1.117,1.138,1.551,1.08,1.495,0.601,1.745,1.85,2.195,2.1,2.972,2.808,1.311,1.089,1.675,0.588,0.056,2.295,0.504,0.181,4.386,3.62,3.203,2.608,2.437,3.75,3.844,3.609,3.284,4.83,2.532,3.197,2.538,2.888,3.316,2.541,3.628,4.348,9.556,9.066,8.481,5.283,2.551,2.506,8.279,4.411,3.362,4.298,3.085,3.164,3.39,9.42,9.105,3.24,2.994,3.523,8.728,5.794,5.562,5.743,3.533,2.974,3.954,3.976,3.926,3.723,1.875,8.095,8.26,4.074,4.011,3.512,4.062,5.024,8.808,8.089,8.498,9.058,9.07,7.986,9.093,8.546,7.374,9.534,9.015,7.973,7.575,8.791,9.891,9.0,8.475,8.657,8.297,8.567,7.959,9.382,8.585
HB201,19.829,2.215,2.097,1.937,1.805,2.024,0.0,0.333,0.684,1.819,1.576,1.63,2.202,1.701,2.775,2.942,2.25,2.737,3.385,2.259,1.364,0.373,1.26,0.816,1.23,2.074,1.632,1.387,0.811,1.87,1.793,1.038,1.662,1.839,6.045,5.279,4.861,4.266,4.096,5.409,5.502,5.08,4.898,6.488,4.111,4.855,3.73,4.546,4.974,4.0,5.287,6.007,11.215,10.725,10.14,6.942,2.777,2.197,9.937,6.069,5.02,5.957,4.743,4.822,5.048,11.079,10.763,4.32,4.652,5.181,10.386,7.452,7.221,7.136,5.192,4.633,5.612,5.634,5.54,5.382,3.533,9.754,9.918,5.688,5.67,5.17,5.72,6.682,10.466,9.747,10.156,10.717,10.729,9.645,10.751,10.204,9.032,11.192,10.674,9.631,9.233,10.449,11.549,10.659,10.133,10.316,9.955,10.226,9.617,11.04,10.243
HB202,20.666,2.373,2.255,2.096,1.964,2.182,0.333,0.0,0.351,1.978,1.734,1.788,2.361,2.119,3.22,3.099,2.667,2.894,3.052,2.416,1.519,0.532,1.417,0.69,0.902,1.745,1.795,1.545,0.97,2.027,1.951,1.195,1.821,1.997,6.202,5.925,5.018,4.423,4.383,5.566,5.659,4.746,4.564,5.997,3.778,5.087,3.397,4.833,5.262,3.667,5.574,6.164,11.502,11.012,10.427,6.234,2.443,1.863,10.225,6.357,5.177,6.113,5.03,5.11,5.335,11.366,11.05,3.987,4.939,5.469,10.673,6.363,6.132,6.803,5.348,4.79,5.844,5.791,5.207,5.539,3.82,10.041,10.205,5.355,5.957,5.327,5.877,6.854,10.754,10.035,10.443,11.004,11.016,9.932,11.038,10.492,9.319,11.479,10.961,9.919,9.52,10.736,11.837,10.946,10.421,10.603,10.242,10.513,9.904,11.328,10.531
HB203,19.897,2.365,2.298,2.335,2.014,2.225,0.684,0.351,0.0,1.891,1.648,1.702,2.272,1.772,2.958,2.868,2.32,3.041,2.967,2.332,1.434,0.586,1.769,0.605,0.555,1.399,1.709,1.788,1.213,2.11,2.195,1.116,2.064,2.24,6.118,5.84,4.935,4.34,4.298,5.482,5.575,4.661,4.479,5.912,3.693,5.002,3.312,4.748,5.177,3.582,5.489,6.08,11.417,10.927,10.342,6.149,2.358,1.778,10.14,6.272,5.094,6.03,4.945,5.025,5.25,11.281,10.965,3.902,4.854,5.383,10.588,6.278,6.047,6.718,5.265,4.706,5.759,5.707,5.121,5.455,3.735,9.956,10.12,5.27,5.872,5.243,5.793,6.769,10.669,9.95,10.358,10.919,10.931,9.847,10.953,10.407,9.234,11.394,10.876,9.834,9.435,10.651,11.752,10.861,10.336,10.518,10.157,10.428,9.819,11.243,18.694
HB301,18.469,1.26,1.235,1.155,1.048,1.12,1.819,1.978,1.891,0.0,0.711,0.761,0.883,0.964,1.008,1.028,0.427,0.826,1.272,0.671,0.942,1.637,1.072,1.466,2.137,1.686,0.64,1.205,1.658,0.691,1.107,1.492,0.976,1.153,4.289,3.523,3.106,2.511,2.276,3.653,3.746,3.5,3.174,4.668,2.423,3.036,2.429,2.726,3.155,2.432,3.467,4.251,9.395,8.905,8.32,5.122,2.106,2.284,8.118,4.25,3.265,4.201,2.923,3.003,3.229,9.259,8.943,2.929,2.832,3.362,8.566,5.632,5.401,5.582,3.436,2.877,3.793,3.878,3.816,3.626,1.713,7.934,8.099,3.965,3.85,3.414,3.964,4.863,8.647,7.928,8.337,8.897,8.909,7.825,8.931,8.385,7.213,9.372,8.854,7.812,7.413,8.63,9.73,8.839,8.314,8.496,8.135,8.406,7.797,9.221,8.424
HB302,19.052,1.52,1.453,1.415,1.169,1.38,1.576,1.734,1.648,0.711,0.0,1.0,0.622,0.704,1.247,1.268,0.666,1.07,1.51,0.91,0.681,1.377,0.812,1.206,1.877,1.426,0.88,1.444,1.398,0.931,1.347,1.232,1.216,1.392,4.528,3.762,3.345,2.75,2.516,3.892,3.986,3.739,3.414,4.908,2.662,3.275,2.668,2.966,3.394,2.671,3.706,4.49,9.635,9.144,8.559,5.361,2.344,2.522,8.357,4.489,3.504,4.44,3.163,3.242,3.468,9.499,9.183,3.37,3.072,3.601,8.806,5.872,5.641,5.821,3.675,3.116,4.032,4.118,4.056,3.865,1.953,8.173,8.338,4.204,4.09,3.654,4.204,5.102,8.886,8.167,8.576,9.136,9.148,8.064,9.171,8.624,7.452,9.612,9.093,8.051,7.653,8.869,9.969,9.078,8.553,8.735,8.375,8.646,8.037,9.46,8.663
HB303,18.826,1.616,1.547,1.467,1.36,1.432,1.63,1.788,1.702,0.761,1.0,0.0,1.024,1.107,1.598,1.618,1.073,1.56,1.975,1.082,0.313,1.009,1.215,0.838,1.51,1.656,0.459,1.023,1.03,1.014,1.43,0.863,1.299,1.475,4.868,4.102,3.685,3.09,2.919,4.232,4.325,4.089,3.764,5.311,3.012,3.679,3.018,3.369,3.798,3.021,4.11,4.83,10.038,9.548,8.963,5.765,3.031,2.478,8.761,4.893,3.844,4.78,3.566,3.646,3.872,9.902,9.586,3.72,3.475,4.005,9.209,6.275,6.044,6.225,4.015,3.456,4.436,4.457,4.406,4.205,2.356,8.577,8.742,4.554,4.493,3.993,4.543,5.506,9.29,8.571,8.98,9.54,9.552,8.468,9.574,9.028,7.856,10.015,9.497,8.455,8.056,9.273,10.373,9.482,8.957,9.139,8.778,9.049,8.44,9.864,9.067
HB304,18.621,2.138,2.079,2.041,1.795,2.006,2.202,2.361,2.272,0.883,0.622,1.024,0.0,0.408,1.139,1.482,0.502,1.223,1.346,1.479,0.71,1.402,0.516,1.234,1.58,1.129,0.856,1.42,1.423,1.41,1.827,1.26,1.696,1.872,4.42,3.654,3.237,2.642,2.408,3.784,3.878,3.628,3.303,4.8,2.551,3.167,2.367,2.858,3.286,2.56,3.598,4.382,9.526,9.036,8.451,5.253,2.179,2.357,8.249,4.381,3.396,4.332,3.055,3.134,3.36,9.391,9.075,3.003,2.964,3.493,8.698,5.764,5.532,5.713,3.567,3.008,3.924,4.01,3.945,3.757,1.845,8.065,8.23,4.093,3.981,3.546,4.095,4.994,8.778,8.059,8.468,9.028,9.04,7.956,9.063,8.516,7.344,9.504,8.985,7.943,7.545,8.761,9.861,8.97,8.445,8.627,8.267,8.538,7.929,9.352,8.555
HB305,18.819,2.255,2.284,2.122,1.876,2.087,1.701,2.119,1.772,0.964,0.704,1.107,0.408,0.0,1.617,1.963,0.98,1.704,1.823,1.961,0.617,1.313,0.429,1.142,1.493,1.042,1.346,1.909,1.334,1.9,2.309,1.168,2.185,2.361,4.898,4.132,3.715,3.12,2.885,4.262,4.355,4.106,3.78,5.278,3.029,3.645,2.844,3.335,3.764,3.038,4.076,4.86,10.004,9.514,8.929,5.731,2.657,2.835,8.727,4.859,3.874,4.81,3.532,3.612,3.838,9.868,9.552,3.481,3.442,3.971,9.175,6.241,6.01,6.191,4.045,3.486,4.402,4.487,4.423,4.235,2.322,8.543,8.708,4.571,4.459,4.023,4.573,5.472,9.256,8.537,8.946,9.506,9.518,8.434,9.54,8.994,7.822,9.982,9.463,8.421,8.022,9.239,10.339,9.448,8.923,9.105,8.744,9.015,8.407,9.83,9.033
HB401,17.519,1.07,1.151,1.528,0.965,1.117,2.775,3.22,2.958,1.008,1.247,1.598,1.139,1.617,0.0,0.708,0.646,0.66,0.411,0.828,1.811,2.503,1.616,2.92,2.681,2.23,1.377,1.941,2.524,1.3,1.265,2.361,1.713,1.31,3.928,3.07,2.748,2.15,1.527,3.296,3.386,2.693,2.368,3.92,1.617,2.287,1.432,1.978,2.406,1.626,2.718,3.89,8.646,8.156,7.571,4.373,1.245,1.423,7.369,3.501,2.904,3.84,2.175,2.254,2.48,8.51,8.195,2.068,2.084,2.613,7.818,4.884,4.652,4.833,3.078,2.516,3.044,3.518,3.01,3.265,0.965,7.185,7.35,3.159,3.101,3.057,3.603,4.114,7.898,7.179,7.588,8.148,8.16,7.076,8.182,7.636,6.464,8.624,8.105,7.063,6.665,7.881,8.981,8.09,7.565,7.747,7.387,7.657,7.049,8.472,7.675
HB402,17.864,1.09,1.172,1.696,0.985,1.138,2.942,3.099,2.868,1.028,1.268,1.618,1.482,1.963,0.708,0.0,0.628,0.318,0.892,0.485,1.468,2.158,1.274,1.992,2.338,1.887,1.034,1.598,2.179,0.957,0.922,2.018,1.37,0.968,3.838,3.072,2.654,2.059,1.825,3.202,3.295,3.048,2.723,4.217,1.972,2.585,1.978,2.275,2.703,1.98,3.016,3.8,8.944,8.454,7.869,4.671,1.726,1.904,7.666,3.798,2.813,3.75,2.472,2.551,2.777,8.808,8.492,2.549,2.381,2.91,8.115,5.181,4.95,5.131,2.984,2.426,3.341,3.427,3.365,3.175,1.262,7.483,7.647,3.514,3.399,2.963,3.513,4.411,8.196,7.476,7.885,8.446,8.458,7.374,8.48,7.933,6.761,8.921,8.403,7.36,6.962,8.178,9.278,8.388,7.863,8.045,7.684,7.955,7.346,8.769,7.972
HB404,18.165,1.718,1.666,1.586,1.479,1.551,2.25,2.667,2.32,0.427,0.666,1.073,0.502,0.98,0.646,0.628,0.0,1.044,0.845,1.212,1.426,2.118,1.232,1.95,2.296,1.845,1.471,2.035,2.139,1.522,1.649,1.976,1.807,1.694,4.362,3.504,3.182,2.584,1.962,3.73,3.82,3.127,2.802,4.354,2.051,2.721,1.866,2.412,2.84,2.06,3.152,4.324,9.08,8.59,8.005,4.807,1.679,1.857,7.803,3.935,3.338,4.274,2.609,2.688,2.914,8.945,8.629,2.502,2.518,3.047,8.252,5.318,5.086,5.267,3.513,2.95,3.478,3.952,3.444,3.699,1.399,7.619,7.784,3.593,3.535,3.491,4.038,4.548,8.332,7.613,8.022,8.582,8.594,7.51,8.617,8.07,6.898,9.058,8.539,7.497,7.099,8.315,9.415,8.524,7.999,8.181,7.821,8.092,7.483,8.906,8.109
HB407,18.18,1.183,1.114,1.403,0.927,1.08,2.737,2.894,3.041,0.826,1.07,1.56,1.223,1.704,0.66,0.318,1.044,0.0,0.897,0.708,1.147,1.843,1.278,1.672,2.343,1.892,0.716,1.281,1.864,0.767,1.056,1.698,1.052,1.101,3.972,3.556,2.788,2.194,2.014,3.336,3.429,3.18,2.854,4.406,2.103,2.773,1.918,2.464,2.892,2.112,3.204,3.934,9.133,8.642,8.057,4.859,1.731,1.909,7.855,3.987,2.947,3.884,2.661,2.74,2.966,8.997,8.681,2.554,2.57,3.099,8.304,5.37,5.139,5.319,3.119,2.56,3.53,3.561,3.496,3.309,1.451,7.671,7.836,3.645,3.588,3.097,3.647,4.6,8.384,7.665,8.074,8.634,8.646,7.562,8.669,8.122,6.95,9.11,8.591,7.549,7.151,8.367,9.467,8.576,8.051,8.233,7.873,8.144,7.535,8.958,8.161
HB408,17.93,1.447,1.529,1.849,1.342,1.495,3.385,3.052,2.967,1.272,1.51,1.975,1.346,1.823,0.411,0.892,0.845,0.897,0.0,0.942,1.635,2.328,1.441,2.16,2.505,2.054,1.202,1.766,2.349,1.253,1.379,2.186,1.537,1.425,4.093,3.234,2.913,2.315,1.692,3.46,3.55,2.858,2.533,4.084,1.781,2.452,1.597,2.142,2.571,1.79,2.883,4.055,8.811,8.321,7.736,4.538,1.409,1.587,7.534,3.666,3.069,4.005,2.339,2.419,2.645,8.675,8.359,2.233,2.248,2.778,7.982,5.048,4.817,4.998,3.243,2.681,3.208,3.682,3.175,3.43,1.129,7.35,7.515,3.323,3.266,3.222,3.768,4.278,8.063,7.344,7.753,8.313,8.325,7.241,8.347,7.801,6.628,8.788,8.27,7.228,6.829,8.046,9.146,8.255,7.73,7.912,7.551,7.822,7.213,8.637,7.84
HB409,17.914,0.705,0.635,1.012,0.449,0.601,2.259,2.416,2.332,0.671,0.91,1.082,1.479,1.961,0.828,0.485,1.212,0.708,0.942,0.0,1.224,1.92,1.676,1.749,2.421,2.289,0.791,1.355,1.941,0.713,0.679,1.775,1.126,0.724,4.115,3.349,2.932,2.337,2.166,3.479,3.572,3.336,3.011,4.558,2.259,2.926,2.265,2.616,3.045,2.268,3.357,4.077,9.285,8.795,8.21,5.012,2.279,2.234,8.008,4.14,3.091,4.027,2.813,2.893,3.119,9.149,8.833,2.967,2.722,3.252,8.456,5.522,5.291,5.472,3.262,2.703,3.683,3.704,3.653,3.452,1.603,7.824,7.989,3.801,3.74,3.241,3.79,4.753,8.537,7.818,8.227,8.787,8.799,7.715,8.821,8.275,7.103,9.262,8.744,7.702,7.303,8.52,9.62,8.729,8.204,8.386,8.025,8.296,7.688,9.111,8.314
HB501,19.139,1.929,1.86,1.78,1.673,1.745,1.364,1.519,1.434,0.942,0.681,0.313,0.71,0.617,1.811,1.468,1.426,1.147,1.635,1.224,0.0,0.955,0.772,0.524,1.197,1.342,1.598,2.158,1.583,2.149,2.566,0.55,2.434,2.611,5.68,4.914,4.497,3.902,3.667,5.044,5.137,4.891,4.565,6.059,3.814,4.427,3.699,4.117,4.546,3.823,4.858,5.642,10.786,10.296,9.711,6.513,2.745,2.165,9.509,5.641,4.656,5.592,4.314,4.394,4.62,10.65,10.334,4.289,4.223,4.753,9.957,7.023,6.792,6.973,4.827,4.268,5.184,5.269,5.207,5.017,3.104,9.325,9.49,5.356,5.241,4.805,5.355,6.254,10.038,9.319,9.728,10.288,10.3,9.216,10.322,9.776,8.604,10.763,10.245,9.203,8.804,10.021,11.121,10.23,9.705,9.887,9.526,9.797,9.189,10.612,9.815
HB502,19.466,1.794,1.923,1.764,1.443,1.85,0.373,0.532,0.586,1.637,1.377,1.009,1.402,1.313,2.503,2.158,2.118,1.843,2.328,1.92,0.955,0.0,0.886,0.446,1.131,1.457,1.258,1.506,0.931,1.497,1.915,0.665,1.782,1.959,5.671,4.905,4.488,3.893,3.723,5.035,5.129,4.844,4.567,6.115,3.816,4.482,3.619,4.173,4.601,3.889,4.913,5.633,10.842,10.351,9.766,6.568,2.666,2.085,9.564,5.696,4.647,5.583,4.37,4.449,4.675,10.706,10.39,4.209,4.279,4.808,10.013,7.079,6.847,7.028,4.818,4.259,5.239,5.261,5.21,5.009,3.16,9.38,9.545,5.358,5.296,4.797,5.347,6.309,10.093,9.374,9.783,10.343,10.355,9.271,10.378,9.831,8.659,10.819,10.3,9.258,8.86,10.076,11.176,10.285,9.76,9.942,9.582,9.853,9.244,10.667,9.87
HB503,19.135,2.363,2.268,2.23,1.984,2.195,1.26,1.417,1.769,1.072,0.812,1.215,0.516,0.429,1.616,1.274,1.232,1.278,1.441,1.676,0.772,0.886,0.0,0.716,1.064,0.067,1.466,2.029,1.454,2.02,2.429,0.866,2.297,2.475,5.453,4.687,4.27,3.675,3.441,4.817,4.911,4.555,4.23,5.833,3.478,4.2,3.484,3.891,4.319,3.487,4.631,5.415,10.56,10.069,9.484,6.286,3.199,2.619,9.282,5.414,4.429,5.365,4.088,4.167,4.393,10.424,10.108,4.036,3.997,4.526,9.731,6.797,6.565,6.746,4.6,4.041,4.957,5.043,4.872,4.79,2.878,9.098,9.263,5.02,5.014,4.579,5.129,6.027,9.811,9.092,9.501,10.061,10.073,8.989,10.096,9.549,8.377,10.537,10.018,8.976,8.578,9.794,10.894,10.003,9.478,9.66,9.3,9.571,8.962,10.385,9.588
HB505,20.44,2.24,2.173,2.21,1.89,2.1,0.816,0.69,0.605,1.466,1.206,0.838,1.234,1.142,2.92,1.992,1.95,1.672,2.16,1.749,0.524,0.446,0.716,0.0,0.678,1.3,1.101,1.665,1.087,1.653,2.073,0.507,1.9,2.115,5.51,4.744,4.326,3.732,3.561,4.874,4.967,4.52,4.338,5.953,3.552,4.321,3.171,4.011,4.439,3.441,4.752,5.472,10.68,10.19,9.605,6.407,2.217,1.637,9.402,5.534,4.485,5.422,4.208,4.287,4.513,10.544,10.228,3.761,4.117,4.646,9.851,6.917,6.686,6.867,4.657,4.098,5.077,5.099,4.981,4.847,2.998,9.219,9.383,5.129,5.135,4.635,5.185,6.147,9.932,9.212,9.621,10.182,10.194,9.11,10.216,9.669,8.497,10.657,10.139,9.096,8.698,9.914,11.014,10.124,9.599,9.781,9.42,9.691,9.082,10.505,9.708
HB506,21.447,3.428,3.045,2.885,2.574,2.972,1.23,0.902,0.555,2.137,1.877,1.51,1.58,1.493,2.681,2.338,2.296,2.343,2.505,2.421,1.197,1.131,1.064,0.678,0.0,0.849,1.483,2.043,1.468,2.034,2.451,0.56,2.319,2.496,5.688,4.922,4.505,3.91,3.676,5.052,5.146,4.896,4.571,6.068,3.82,4.435,3.584,4.126,4.554,3.828,4.867,5.65,10.795,10.304,9.719,6.521,2.63,2.05,9.517,5.649,4.664,5.6,4.323,4.402,4.628,10.659,10.343,4.174,4.232,4.761,9.966,7.032,6.801,6.981,4.835,4.276,5.192,5.278,5.213,5.025,3.113,9.333,9.498,5.361,5.25,4.814,5.364,6.262,10.046,9.327,9.736,10.297,10.308,9.224,10.331,9.784,8.612,10.772,10.253,9.211,8.813,10.029,11.129,10.238,9.713,9.895,9.535,9.806,9.197,10.62,9.823
HB508,19.749,2.977,2.881,2.844,2.598,2.808,2.074,1.745,1.399,1.686,1.426,1.656,1.129,1.042,2.23,1.887,1.845,1.892,2.054,2.289,1.342,1.457,0.067,1.3,0.849,0.0,1.288,1.851,1.276,1.842,2.247,1.11,2.115,2.292,4.84,4.074,3.657,3.062,2.827,4.204,4.297,4.048,3.722,5.219,2.971,3.587,2.786,3.277,3.706,2.98,4.018,4.802,9.946,9.456,8.871,5.673,2.599,2.777,8.669,4.801,3.816,4.752,3.474,3.554,3.78,9.81,9.494,3.422,3.383,3.913,9.117,6.183,5.952,6.133,3.987,3.428,4.343,4.429,4.365,4.177,2.264,8.485,8.65,4.513,4.401,3.965,4.515,5.413,9.198,8.479,8.888,9.448,9.46,8.376,9.482,8.936,7.763,9.923,9.405,8.363,7.964,9.181,10.281,9.39,8.865,9.047,8.686,8.957,8.348,9.772,8.975
HB601,18.705,1.495,1.426,1.346,1.239,1.311,1.632,1.795,1.709,0.64,0.88,0.459,0.856,1.346,1.377,1.034,1.471,0.716,1.202,0.791,1.598,1.258,1.466,1.101,1.483,1.288,0.0,0.564,1.149,0.555,0.973,1.328,0.799,1.016,4.729,3.963,3.546,2.951,2.781,4.093,4.187,3.901,3.625,5.173,2.874,3.54,2.88,3.231,3.659,2.883,3.971,4.691,9.899,9.409,8.824,5.626,2.893,2.848,8.622,4.754,3.705,4.641,3.428,3.507,3.733,9.764,9.448,3.582,3.337,3.866,9.071,6.137,5.905,6.086,3.876,3.317,4.297,4.319,4.268,4.066,2.218,8.438,8.603,4.416,4.354,3.855,4.405,5.367,9.151,8.432,8.841,9.401,9.413,8.329,9.436,8.889,7.717,9.877,9.358,8.316,7.918,9.134,10.234,9.343,8.818,9.0,8.64,8.911,8.302,9.725,8.928
